payment_id,vendor_name,invoice_number,amount,payment_date,payment_method
PMT-00570,Crestview Legal Services,INV-014-27110,387.37,2024-02-11,ACH
PMT-00373,Silverline Office Solutions,INV-040-76665,1385.02,2024-02-11,ACH
PMT-00288,Coastal Freight,INV-010-82058,1991.32,2024-02-12,ACH
PMT-00146,Harbor Travel Services,INV-020-68695,708.16,2024-02-12,ACH
PMT-00386,Coastal Legal Services,INV-011-35559,203.44,2024-02-14,ACH
PMT-00561,Cobalt Utilities,INV-012-61616,3409.99,2024-02-15,Wire
PMT-00202,Vertex Travel Services,INV-049-96599,1431.96,2024-02-15,ACH
PMT-00459,Cascade Office Solutions,INV-007-20155,7256.14,2024-02-15,ACH
PMT-00402,Pinehurst Cleaning Services,INV-032-48122,1007.1,2024-02-16,ACH
PMT-00824,Redwood Marketing Partners,INV-038-68445,3215.13,2024-02-16,Check
PMT-00188,Harbor Travel Services,INV-020-76058,250.03,2024-02-17,Wire
PMT-00514,Vertex Software Inc.,INV-047-92587,378.58,2024-02-17,ACH
PMT-00721,Ironclad Equipment Rental,INV-022-33288,280.51,2024-02-18,ACH
PMT-00546,Cascade Telecom,INV-008-59151,1251.72,2024-02-18,Check
PMT-00413,Falcon Facilities Management,INV-015-10371,3320.62,2024-02-19,ACH
PMT-00840,Highland Staffing Solutions,INV-021-69445,2832.0,2024-02-20,Check
PMT-00444,Vertex Software Inc.,INV-047-66254,1044.83,2024-02-20,ACH
PMT-00385,Coastal Freight,INV-010-92449,2873.89,2024-02-21,Check
PMT-00062,Vertex Software Inc.,INV-047-85240,3721.88,2024-02-21,ACH
PMT-00813,Cascade Freight,INV-006-86723,1076.58,2024-02-21,Check
PMT-00602,Coastal Legal Services,INV-011-58880,2102.6,2024-02-21,ACH
PMT-00566,Pinehurst Security Systems,INV-036-85168,1932.41,2024-02-21,ACH
PMT-00244,Redwood Marketing Partners,INV-038-32182,508.82,2024-02-22,ACH
PMT-00119,Pinehurst Cleaning Services,INV-032-79660,1192.11,2024-02-22,ACH
PMT-00180,Harbor Travel Services,INV-020-78458,402.17,2024-02-23,ACH
PMT-00836,Vantage Consulting Group,INV-044-90201,1259.35,2024-02-24,ACH
PMT-00054,Redwood Marketing Partners,INV-038-63702,5098.65,2024-02-24,Wire
PMT-00500,Vertex Software Inc.,INV-047-84059,302.16,2024-02-24,ACH
PMT-00397,Cascade Freight,INV-006-86000,2288.15,2024-02-24,Wire
PMT-00067,Redwood Cleaning Services,INV-037-35538,6345.93,2024-02-24,Card
PMT-00058,Cascade Freight,INV-006-78632,949.94,2024-02-25,Check
PMT-00046,Pinehurst Landscaping,INV-034-57714,2427.19,2024-02-25,Wire
PMT-00157,Ironclad Staffing Solutions,INV-023-40854,3731.6,2024-02-26,Wire
PMT-00029,Meridian Travel Services,INV-029-43027,12912.62,2024-02-26,ACH
PMT-00091,Coastal Legal Services,INV-011-31662,938.85,2024-02-26,ACH
PMT-00425,Pinehurst Cleaning Services,INV-032-64440,4569.91,2024-02-27,Check
PMT-00782,Silverline Freight,INV-039-94358,1413.87,2024-02-27,ACH
PMT-00582,Lumen Maintenance Corp,INV-026-79560,8739.4,2024-02-27,ACH
PMT-00483,Redwood Cleaning Services,INV-037-99925,1688.81,2024-02-27,ACH
PMT-00596,Lumen Telecom,INV-027-84675,510.25,2024-02-28,Check
PMT-00149,Cobalt Utilities,INV-012-51437,833.31,2024-02-28,ACH
PMT-00366,Falcon Facilities Management,INV-015-27319,1308.0,2024-02-29,Check
PMT-00197,Ironclad Staffing Solutions,INV-023-24314,5063.08,2024-02-29,Card
PMT-00469,Cascade Catering,INV-005-86189,7266.43,2024-02-29,ACH
PMT-00872,Lumen Telecom,INV-027-69672,9689.65,2024-03-01,Check
PMT-00207,Crestview Legal Services,INV-014-80270,18600.62,2024-03-01,ACH
PMT-00392,Redwood Marketing Partners,INV-038-33978,3555.22,2024-03-02,ACH
PMT-00253,Ironclad Staffing Solutions,INV-023-77527,546.71,2024-03-02,Wire
PMT-00205,Cascade Telecom,INV-008-37386,8967.51,2024-03-02,ACH
PMT-00655,Silverline Office Solutions,INV-040-25437,2141.47,2024-03-02,ACH
PMT-00285,Northgate Catering,INV-030-40794,929.12,2024-03-02,ACH
PMT-00374,Beacon Maintenance Corp,INV-001-69722,2091.0,2024-03-02,ACH
PMT-00292,Vantage Consulting Group,INV-044-85064,2984.25,2024-03-03,Check
PMT-00717,Ironclad Equipment Rental,INV-022-52605,3375.57,2024-03-03,ACH
PMT-00873,Lumen Telecom,INV-027-97397,9514.83,2024-03-03,Wire
PMT-00758,Northgate Travel Services,INV-031-10892,2581.15,2024-03-03,Wire
PMT-00549,Blue Ridge Utilities,INV-004-57501,921.63,2024-03-03,Card
PMT-00141,Cascade Freight,INV-006-98338,5736.64,2024-03-03,Check
PMT-00025,Ironclad Staffing Solutions,INV-023-43471,9051.83,2024-03-04,Check
PMT-00605,Cascade Freight,INV-006-47169,16265.46,2024-03-04,ACH
PMT-00821,Redwood Marketing Partners,INV-038-91897,858.63,2024-03-05,Wire
PMT-00681,Blue Ridge Insurance Group,INV-003-43730,1088.91,2024-03-05,Check
PMT-00251,Falcon Supply Co.,INV-016-78331,4296.97,2024-03-05,Check
PMT-00565,Silverline Utilities,INV-041-96380,2802.32,2024-03-05,ACH
PMT-00183,Pinehurst Office Solutions,INV-035-72791,1125.52,2024-03-06,Check
PMT-00357,Harbor Travel Services,INV-020-97809,719.62,2024-03-06,ACH
PMT-00176,Union Cleaning Services,INV-043-87213,885.58,2024-03-07,ACH
PMT-00353,Silverline Utilities,INV-041-11354,2714.94,2024-03-09,Wire
PMT-00120,Cascade Travel Services,INV-009-43616,1625.41,2024-03-09,Check
PMT-00536,Harbor Office Solutions,INV-019-98391,1281.64,2024-03-09,ACH
PMT-00415,Vertex Analytics,INV-046-66142,2038.39,2024-03-10,Check
PMT-00457,Harbor Equipment Rental,INV-017-29198,2323.97,2024-03-11,Card
PMT-00429,Beacon Maintenance Corp,INV-001-84527,981.66,2024-03-11,ACH
PMT-00462,Harbor Equipment Rental,INV-017-23893,501.9,2024-03-12,Check
PMT-00114,Ironclad Equipment Rental,INV-022-91222,2289.69,2024-03-12,ACH
PMT-00113,Lumen Telecom,INV-027-84791,3705.33,2024-03-12,ACH
PMT-00715,Blue Ridge Insurance Group,INV-003-80788,4990.69,2024-03-12,Check
PMT-00484,Cascade Telecom,INV-008-49505,1445.83,2024-03-13,ACH
PMT-00019,Highland Staffing Solutions,INV-021-80621,4735.89,2024-03-13,ACH
PMT-00774,Blue Ridge Insurance Group,INV-003-38903,751.62,2024-03-13,ACH
PMT-00538,Crestview Landscaping,INV-013-44422,446.84,2024-03-13,ACH
PMT-00073,Cascade Telecom,INV-008-20070,399.86,2024-03-13,Wire
PMT-00470,Cascade Travel Services,INV-009-46390,2237.45,2024-03-14,ACH
PMT-00407,Vertex Staffing Solutions,INV-048-26661,1578.14,2024-03-14,ACH
PMT-00756,Crestview Legal Services,INV-014-66245,777.42,2024-03-15,Card
PMT-00894,Beacon Logistics,INV-000-96256,9904.6,2024-03-15,ACH
PMT-00908,Redwood Cleaning Services,INV-037-94879,6345.93,2024-03-15,Card
PMT-00900,"Lumen Telecom,",INV-027-84791,3705.33,2024-03-16,Check
PMT-00365,Vertex Travel Services,INV-049-40400,933.72,2024-03-16,Wire
PMT-00367,Harbor IT Services,INV-018-54062,1230.4,2024-03-16,ACH
PMT-00620,Ironclad Staffing Solutions,INV-023-89830,1481.66,2024-03-16,Check
PMT-00081,Cascade Travel Services,INV-009-76389,423.96,2024-03-16,Wire
PMT-00539,Harbor Equipment Rental,INV-017-89897,645.39,2024-03-17,Check
PMT-00259,Northgate Catering,INV-030-67887,1087.77,2024-03-17,ACH
PMT-00893,Beacon Logistics,INV-000-88412,9131.46,2024-03-17,Check
PMT-00644,Harbor Travel Services,INV-020-53902,592.55,2024-03-17,Check
PMT-00640,Harbor Travel Services,INV-020-46640,936.19,2024-03-17,Card
PMT-00763,Redwood Marketing Partners,INV-038-10065,391.3,2024-03-18,ACH
PMT-00892,Beacon Logistics,INV-000-80208,9915.04,2024-03-18,Wire
PMT-00547,Lumen Catering,INV-024-86693,1337.92,2024-03-18,Wire
PMT-00027,Vertex Analytics,INV-046-10311,419.24,2024-03-19,ACH
PMT-00487,Blue Ridge Analytics,INV-002-78209,6923.9,2024-03-20,Card
PMT-00611,Lumen Utilities,INV-028-16796,831.03,2024-03-20,Wire
PMT-00454,Blue Ridge Utilities,INV-004-96200,413.01,2024-03-21,ACH
PMT-00087,Lumen Catering,INV-024-30100,678.72,2024-03-21,Card
PMT-00831,Lumen Catering,INV-024-38378,4043.11,2024-03-21,ACH
PMT-00439,Coastal Freight,INV-010-32318,2442.41,2024-03-21,Check
PMT-00497,Coastal Freight,INV-010-34368,456.56,2024-03-21,ACH
PMT-00706,Vertex Staffing Solutions,INV-048-56837,4468.39,2024-03-22,ACH
PMT-00450,Redwood Cleaning Services,INV-037-67683,2973.94,2024-03-23,ACH
PMT-00910,Cascade Telecom,INV-008-87314,1445.83,2024-03-23,Card
PMT-00575,Northgate Travel Services,INV-031-16949,2614.8,2024-03-24,ACH
PMT-00528,Cascade Travel Services,INV-009-96724,1836.17,2024-03-24,ACH
PMT-00903,Lumen Utilities LLC,INV-028-16796,831.03,2024-03-24,Check
PMT-00445,Pinehurst Facilities Management,INV-033-66726,4495.01,2024-03-24,Wire
PMT-00465,Cascade Travel Services,INV-009-45136,937.36,2024-03-25,Wire
PMT-00105,Crestview Legal Services,INV-014-70978,1523.44,2024-03-25,Wire
PMT-00438,Cascade Freight,INV-006-71128,1082.89,2024-03-25,Wire
PMT-00175,Coastal Freight,INV-010-78649,611.85,2024-03-25,Wire
PMT-00852,Ironclad Staffing Solutions,INV-023-89830,1481.66,2024-03-25,Check
PMT-00635,Lumen Cleaning Services,INV-025-70270,718.43,2024-03-25,Card
PMT-00764,Silverline Waste Management,INV-042-25384,361.39,2024-03-26,ACH
PMT-00520,Cascade Freight,INV-006-62234,86.05,2024-03-26,Card
PMT-00414,Pinehurst Facilities Management,INV-033-35577,2516.32,2024-03-27,Check
PMT-00783,Ironclad Staffing Solutions,INV-023-72657,14654.63,2024-03-28,Check
PMT-00770,Cobalt Utilities,INV-012-22958,20572.35,2024-03-28,Wire
PMT-00218,Pinehurst Security Systems,INV-036-86230,4047.78,2024-03-28,ACH
PMT-00198,Beacon Logistics,INV-000-82973,564.04,2024-03-28,ACH
PMT-00634,Cobalt Utilities,INV-012-70211,203.42,2024-03-29,Wire
PMT-00744,Cascade Catering,INV-005-37492,2541.01,2024-03-30,Check
PMT-00562,Coastal Legal Services,INV-011-62704,3426.79,2024-03-31,Card
PMT-00815,Cascade Catering,INV-005-25561,2920.24,2024-03-31,ACH
PMT-00213,Vantage Supply Co.,INV-045-96949,104.52,2024-03-31,Wire
PMT-00881,Vantage Supply Co.,INV-045-53220,9526.07,2024-03-31,Card
PMT-00252,Crestview Landscaping,INV-013-50515,4111.17,2024-04-01,Check
PMT-00456,Redwood Cleaning Services,INV-037-72850,573.3,2024-04-01,Wire
PMT-00879,Vantage Supply Co.,INV-045-19775,9945.99,2024-04-01,Wire
PMT-00526,Pinehurst Security Systems,INV-036-41328,2978.31,2024-04-01,Wire
PMT-00467,Vertex Analytics,INV-046-35810,1818.18,2024-04-02,Wire
PMT-00601,Pinehurst Facilities Management,INV-033-85345,330.78,2024-04-02,Check
PMT-00111,Union Cleaning Services,INV-043-87406,598.34,2024-04-03,ACH
PMT-00013,Vantage Consulting Group,INV-044-74322,1181.99,2024-04-03,ACH
PMT-00642,Pinehurst Security Systems,INV-036-37586,5670.42,2024-04-04,ACH
PMT-00310,Vertex Travel Services,INV-049-35131,1373.18,2024-04-04,Wire
PMT-00648,Pinehurst Facilities Management,INV-033-28021,3842.12,2024-04-04,Wire
PMT-00845,Blue Ridge Analytics,INV-002-71972,1649.21,2024-04-05,ACH
PMT-00880,Vantage Supply Co.,INV-045-26090,9939.99,2024-04-05,Card
PMT-00899,"Vertex Analytics,",INV-046-35810,1818.18,2024-04-05,Wire
PMT-00179,Harbor Travel Services,INV-020-86540,447.53,2024-04-05,ACH
PMT-00551,Beacon Maintenance Corp,INV-001-99183,262.8,2024-04-06,ACH
PMT-00647,Pinehurst Landscaping,INV-034-84295,1949.81,2024-04-07,Wire
PMT-00154,Lumen Cleaning Services,INV-025-61380,8818.22,2024-04-08,Card
PMT-00732,Cascade Office Solutions,INV-007-52003,743.27,2024-04-08,ACH
PMT-00055,Beacon Maintenance Corp,INV-001-68479,796.69,2024-04-08,ACH
PMT-00293,Crestview Landscaping,INV-013-31507,701.76,2024-04-09,ACH
PMT-00589,Silverline Utilities,INV-041-12880,934.06,2024-04-09,Check
PMT-00403,Harbor Office Solutions,INV-019-64355,259.28,2024-04-09,Check
PMT-00759,Coastal Freight,INV-010-53691,813.46,2024-04-10,ACH
PMT-00494,Lumen Telecom,INV-027-55723,524.47,2024-04-10,ACH
PMT-00720,Vantage Supply Co.,INV-045-43040,439.41,2024-04-11,ACH
PMT-00693,Lumen Cleaning Services,INV-025-39650,1098.7,2024-04-12,ACH
PMT-00661,Silverline Utilities,INV-041-16975,3512.69,2024-04-12,Check
PMT-00812,Vertex Software Inc.,INV-047-62563,817.44,2024-04-12,Card
PMT-00708,Cascade Telecom,INV-008-85333,944.8,2024-04-12,ACH
PMT-00854,Cascade Office Solutions,INV-007-52003,743.27,2024-04-13,Card
PMT-00761,Beacon Logistics,INV-000-93620,19047.23,2024-04-14,ACH
PMT-00493,Blue Ridge Insurance Group,INV-003-62904,937.63,2024-04-14,ACH
PMT-00723,Vertex Analytics,INV-046-77846,1386.47,2024-04-14,ACH
PMT-00810,Vertex Travel Services,INV-049-41835,20128.21,2024-04-15,Wire
PMT-00121,Lumen Cleaning Services,INV-025-15009,999.44,2024-04-15,ACH
PMT-00068,Northgate Catering,INV-030-13079,111.1,2024-04-16,Wire
PMT-00117,Crestview Legal Services,INV-014-92147,388.47,2024-04-16,ACH
PMT-00330,Pinehurst Facilities Management,INV-033-46481,1219.5,2024-04-17,Card
PMT-00326,Redwood Cleaning Services,INV-037-51066,682.1,2024-04-17,ACH
PMT-00122,Lumen Cleaning Services,INV-025-74946,961.63,2024-04-17,ACH
PMT-00797,Harbor Equipment Rental,INV-017-89671,1421.89,2024-04-17,ACH
PMT-00254,Crestview Legal Services,INV-014-58539,1077.51,2024-04-17,ACH
PMT-00826,Vertex Staffing Solutions,INV-048-31679,464.41,2024-04-17,ACH
PMT-00584,Lumen Cleaning Services,INV-025-13446,532.75,2024-04-17,ACH
PMT-00226,Pinehurst Security Systems,INV-036-84490,3660.15,2024-04-17,Check
PMT-00328,Falcon Facilities Management,INV-015-67732,376.34,2024-04-18,Check
PMT-00460,Lumen Telecom,INV-027-60830,662.54,2024-04-19,ACH
PMT-00606,Beacon Maintenance Corp,INV-001-39784,1798.59,2024-04-20,ACH
PMT-00617,Crestview Legal Services,INV-014-36406,4983.75,2024-04-20,ACH
PMT-00261,Silverline Office Solutions,INV-040-28994,1535.5,2024-04-20,ACH
PMT-00865,Crestview Legal Services,INV-014-58539,1077.51,2024-04-20,Wire
PMT-00356,Falcon Supply Co.,INV-016-84068,1586.11,2024-04-21,ACH
PMT-00781,Cascade Freight,INV-006-34489,1056.1,2024-04-21,Check
PMT-00361,Cascade Catering,INV-005-50348,5353.45,2024-04-21,ACH
PMT-00858,Lumen Cleaning Services,INV-025-13446,532.75,2024-04-21,Wire
PMT-00191,Crestview Landscaping,INV-013-92952,1118.92,2024-04-23,ACH
PMT-00061,Harbor IT Services,INV-018-70426,2898.98,2024-04-23,Check
PMT-00441,Crestview Landscaping,INV-013-39221,1651.92,2024-04-23,ACH
PMT-00906,Coastal Freight,INV-010-56936,813.46,2024-04-24,Card
PMT-00656,Harbor Office Solutions,INV-019-78993,2786.82,2024-04-25,Check
PMT-00030,Vantage Supply Co.,INV-045-12076,157.76,2024-04-26,Check
PMT-00337,Cobalt Utilities,INV-012-78140,798.6,2024-04-26,ACH
PMT-00270,Vantage Supply Co.,INV-045-52797,859.43,2024-04-26,Wire
PMT-00302,Cascade Freight,INV-006-53565,3051.25,2024-04-27,ACH
PMT-00541,Cascade Freight,INV-006-52436,2047.76,2024-04-27,ACH
PMT-00581,Union Cleaning Services,INV-043-99780,6869.05,2024-04-27,ACH
PMT-00023,Vantage Supply Co.,INV-045-52391,809.24,2024-04-29,ACH
PMT-00354,Lumen Utilities,INV-028-13432,721.02,2024-04-29,ACH
PMT-00499,Lumen Utilities,INV-028-85215,2544.08,2024-04-30,ACH
PMT-00387,Pinehurst Office Solutions,INV-035-79429,5051.53,2024-04-30,Wire
PMT-00490,Vertex Analytics,INV-046-20474,1937.12,2024-05-01,ACH
PMT-00863,Harbor Office Solutions,INV-019-78993,2786.82,2024-05-01,Wire
PMT-00194,Silverline Waste Management,INV-042-56420,2670.49,2024-05-01,Wire
PMT-00615,Silverline Waste Management,INV-042-55617,689.28,2024-05-01,ACH
PMT-00766,Cascade Telecom,INV-008-11445,76.8,2024-05-01,ACH
PMT-00308,Northgate Travel Services,INV-031-44712,388.74,2024-05-02,ACH
PMT-00164,Vantage Consulting Group,INV-044-95442,655.27,2024-05-02,Wire
PMT-00321,Pinehurst Office Solutions,INV-035-18323,7913.73,2024-05-02,Check
PMT-00304,Vertex Staffing Solutions,INV-048-37282,543.49,2024-05-02,Wire
PMT-00426,Ironclad Staffing Solutions,INV-023-76670,2506.57,2024-05-03,ACH
PMT-00587,Cascade Office Solutions,INV-007-84656,427.58,2024-05-03,ACH
PMT-00678,Harbor IT Services,INV-018-77154,751.9,2024-05-03,Check
PMT-00560,Beacon Maintenance Corp,INV-001-69643,590.42,2024-05-04,Wire
PMT-00855,Vantage Supply Co.,INV-045-52797,859.43,2024-05-04,ACH
PMT-00001,Cobalt Utilities,INV-012-11825,1469.86,2024-05-04,Card
PMT-00048,Redwood Marketing Partners,INV-038-76493,107.85,2024-05-04,Check
PMT-00316,Ironclad Equipment Rental,INV-022-99817,2103.86,2024-05-04,Check
PMT-00819,Falcon Supply Co.,INV-016-65459,1606.8,2024-05-05,Wire
PMT-00101,Coastal Freight,INV-010-32316,317.69,2024-05-06,ACH
PMT-00659,Union Cleaning Services,INV-043-74427,91.35,2024-05-07,Check
PMT-00846,Falcon Facilities Management,INV-015-68081,1789.88,2024-05-07,ACH
PMT-00160,Meridian Travel Services,INV-029-45628,2880.96,2024-05-08,ACH
PMT-00522,Cascade Office Solutions,INV-007-67079,2044.4,2024-05-09,ACH
PMT-00918,Vantage Supply Co.,INV-045-33247,859.43,2024-05-09,Card
PMT-00349,Vertex Travel Services,INV-049-49528,3436.36,2024-05-10,Wire
PMT-00733,Lumen Catering,INV-024-74251,116.05,2024-05-11,ACH
PMT-00453,Crestview Legal Services,INV-014-53806,184.5,2024-05-12,Card
PMT-00151,Blue Ridge Insurance Group,INV-003-92566,1404.46,2024-05-13,ACH
PMT-00390,Coastal Legal Services,INV-011-70256,225.65,2024-05-13,ACH
PMT-00622,Northgate Travel Services,INV-031-91599,973.11,2024-05-13,ACH
