user_id,base_role,access_right,source,granted_date,revoked_date
U-0050,AR Clerk,Create/Edit Customer Master,role: AR Clerk,2024-01-09,
U-0051,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-02-02,
U-0052,Legacy Regional Admin,Create/Edit Vendor Master,role: Legacy Regional Admin,2024-01-17,
U-0052,Legacy Regional Admin,Approve Vendor Payment,role: Legacy Regional Admin,2024-01-27,
U-0053,GL Accountant,Post Journal Entry,role: GL Accountant,2024-01-22,
U-0054,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-01-24,
U-0055,AR Supervisor,Approve Credit Memo,role: AR Supervisor,2024-02-24,
U-0055,AR Supervisor,Create/Edit Customer Master,exception grant,2024-08-20,
U-0056,AR Clerk,Create/Edit Customer Master,role: AR Clerk,2024-01-22,
U-0057,Procurement Buyer,Create Purchase Order,role: Procurement Buyer,2024-01-12,
U-0057,Procurement Buyer,Approve Purchase Order,exception grant,2024-04-19,
U-0057,Procurement Buyer,Receive Goods,exception grant,2024-07-16,
U-0058,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-02-09,
U-0059,AR Clerk,Create/Edit Customer Master,role: AR Clerk,2024-01-29,
U-0060,Procurement Manager,Approve Purchase Order,role: Procurement Manager,2024-02-16,
U-0061,Treasury Analyst,Reconcile Bank Account,role: Treasury Analyst,2024-01-23,
U-0062,Legacy Regional Admin,Approve Vendor Payment,role: Legacy Regional Admin,2024-01-25,
U-0062,Legacy Regional Admin,Create/Edit Vendor Master,role: Legacy Regional Admin,2024-02-06,
U-0063,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-02-07,
U-0064,GL Accountant,Post Journal Entry,role: GL Accountant,2024-01-19,
U-0065,Legacy Regional Admin,Approve Vendor Payment,role: Legacy Regional Admin,2024-01-16,
U-0065,Legacy Regional Admin,Create/Edit Vendor Master,role: Legacy Regional Admin,2024-02-15,
U-0066,Treasury Analyst,Reconcile Bank Account,role: Treasury Analyst,2024-01-04,
U-0067,Procurement Manager,Approve Purchase Order,role: Procurement Manager,2024-02-13,
U-0068,Payroll Admin,Edit Payroll Rates/Hours,role: Payroll Admin,2024-01-23,
U-0068,Payroll Admin,Approve Payroll Run,exception grant,2024-09-05,
U-0069,AP Supervisor,Approve Vendor Payment,role: AP Supervisor,2024-02-23,
U-0070,Treasury Analyst,Reconcile Bank Account,role: Treasury Analyst,2024-02-05,
U-0071,Payroll Manager,Approve Payroll Run,role: Payroll Manager,2024-01-10,
U-0071,Payroll Manager,Edit Payroll Rates/Hours,exception grant,2024-02-19,2024-04-24
U-0072,Procurement Buyer,Create Purchase Order,role: Procurement Buyer,2024-01-22,
U-0073,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-02-13,
U-0074,Treasury Analyst,Reconcile Bank Account,role: Treasury Analyst,2024-01-08,
U-0075,GL Accountant,Post Journal Entry,role: GL Accountant,2024-02-18,
U-0076,AR Clerk,Create/Edit Customer Master,role: AR Clerk,2024-02-06,
U-0077,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-01-30,
U-0078,GL Accountant,Post Journal Entry,role: GL Accountant,2024-01-21,
U-0079,Procurement Buyer,Create Purchase Order,role: Procurement Buyer,2024-01-31,
U-0080,GL Accountant,Post Journal Entry,role: GL Accountant,2024-02-27,
U-0081,AR Clerk,Create/Edit Customer Master,role: AR Clerk,2024-01-26,
U-0082,Treasury Analyst,Reconcile Bank Account,role: Treasury Analyst,2024-02-06,
U-0083,Warehouse Receiving Clerk,Receive Goods,role: Warehouse Receiving Clerk,2024-01-18,
U-0084,AR Clerk,Create/Edit Customer Master,role: AR Clerk,2024-01-20,
U-0085,Payroll Admin,Edit Payroll Rates/Hours,role: Payroll Admin,2024-02-25,
U-0086,Warehouse Receiving Clerk,Receive Goods,role: Warehouse Receiving Clerk,2024-01-22,
U-0087,Payroll Admin,Edit Payroll Rates/Hours,role: Payroll Admin,2024-01-27,
U-0088,AR Clerk,Create/Edit Customer Master,role: AR Clerk,2024-01-11,
U-0089,Payroll Admin,Edit Payroll Rates/Hours,role: Payroll Admin,2024-01-05,
U-0090,AR Clerk,Create/Edit Customer Master,role: AR Clerk,2024-01-17,
U-0091,Procurement Buyer,Create Purchase Order,role: Procurement Buyer,2024-01-30,
U-0091,Procurement Buyer,Approve Purchase Order,exception grant,2024-04-24,2024-07-19
U-0092,Payroll Admin,Edit Payroll Rates/Hours,role: Payroll Admin,2024-01-11,
U-0093,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-01-28,
U-0094,Warehouse Receiving Clerk,Receive Goods,role: Warehouse Receiving Clerk,2024-02-25,
U-0095,AR Clerk,Create/Edit Customer Master,role: AR Clerk,2024-02-21,
U-0096,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-02-12,
U-0097,Warehouse Receiving Clerk,Receive Goods,role: Warehouse Receiving Clerk,2024-02-18,
U-0098,Treasury Analyst,Reconcile Bank Account,role: Treasury Analyst,2024-02-29,
U-0099,Treasury Manager,Approve Wire Transfer,role: Treasury Manager,2024-02-08,
U-0100,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-02-06,
U-0101,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-02-10,
U-0102,GL Accountant,Post Journal Entry,role: GL Accountant,2024-01-08,
U-0103,AR Clerk,Create/Edit Customer Master,role: AR Clerk,2024-01-15,
U-0104,Procurement Buyer,Create Purchase Order,role: Procurement Buyer,2024-02-03,
U-0105,Payroll Admin,Edit Payroll Rates/Hours,role: Payroll Admin,2024-02-10,
U-0106,AR Clerk,Create/Edit Customer Master,role: AR Clerk,2024-01-22,
U-0107,Payroll Manager,Approve Payroll Run,role: Payroll Manager,2024-01-04,
U-0108,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-01-09,
U-0109,Procurement Buyer,Create Purchase Order,role: Procurement Buyer,2024-02-05,
U-0110,Warehouse Receiving Clerk,Receive Goods,role: Warehouse Receiving Clerk,2024-02-21,
U-0111,Payroll Manager,Approve Payroll Run,role: Payroll Manager,2024-01-22,
U-0112,Treasury Manager,Approve Wire Transfer,role: Treasury Manager,2024-02-12,
U-0113,AR Clerk,Create/Edit Customer Master,role: AR Clerk,2024-01-11,
U-0114,Procurement Buyer,Create Purchase Order,role: Procurement Buyer,2024-02-07,
U-0115,Procurement Buyer,Create Purchase Order,role: Procurement Buyer,2024-02-13,
U-0115,Procurement Buyer,Receive Goods,exception grant,2024-03-21,2024-04-21
U-0116,AP Supervisor,Approve Vendor Payment,role: AP Supervisor,2024-02-28,
U-0116,AP Supervisor,Create/Edit Vendor Master,exception grant,2024-08-21,
U-0117,AR Clerk,Create/Edit Customer Master,role: AR Clerk,2024-01-27,
U-0118,Procurement Buyer,Create Purchase Order,role: Procurement Buyer,2024-01-19,
U-0119,GL Accountant,Post Journal Entry,role: GL Accountant,2024-02-06,
U-0120,Treasury Analyst,Reconcile Bank Account,role: Treasury Analyst,2024-01-07,
U-0121,Procurement Buyer,Create Purchase Order,role: Procurement Buyer,2024-02-16,
U-0122,Legacy Regional Admin,Approve Vendor Payment,role: Legacy Regional Admin,2024-02-01,
U-0122,Legacy Regional Admin,Create/Edit Vendor Master,role: Legacy Regional Admin,2024-02-21,
U-0123,Procurement Buyer,Create Purchase Order,role: Procurement Buyer,2024-02-13,
U-0124,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-01-23,
U-0125,Treasury Analyst,Reconcile Bank Account,role: Treasury Analyst,2024-01-12,
U-0126,Treasury Analyst,Reconcile Bank Account,role: Treasury Analyst,2024-02-09,
U-0127,Procurement Buyer,Create Purchase Order,role: Procurement Buyer,2024-02-19,
U-0127,Procurement Buyer,Approve Purchase Order,exception grant,2024-04-26,2024-07-16
U-0128,Procurement Buyer,Create Purchase Order,role: Procurement Buyer,2024-01-15,
U-0129,AP Supervisor,Approve Vendor Payment,role: AP Supervisor,2024-02-09,
U-0130,Warehouse Receiving Clerk,Receive Goods,role: Warehouse Receiving Clerk,2024-01-02,
U-0131,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-02-03,
U-0132,Warehouse Receiving Clerk,Receive Goods,role: Warehouse Receiving Clerk,2024-01-15,
U-0133,AR Clerk,Create/Edit Customer Master,role: AR Clerk,2024-02-16,
U-0134,AR Clerk,Create/Edit Customer Master,role: AR Clerk,2024-02-28,
U-0135,AR Clerk,Create/Edit Customer Master,role: AR Clerk,2024-02-06,
U-0136,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-03-01,
U-0137,AR Clerk,Create/Edit Customer Master,role: AR Clerk,2024-02-06,
U-0138,Warehouse Receiving Clerk,Receive Goods,role: Warehouse Receiving Clerk,2024-02-23,
U-0139,Procurement Buyer,Create Purchase Order,role: Procurement Buyer,2024-02-10,
U-0140,GL Accountant,Post Journal Entry,role: GL Accountant,2024-01-25,
U-0141,AR Clerk,Create/Edit Customer Master,role: AR Clerk,2024-02-06,
U-0142,AP Supervisor,Approve Vendor Payment,role: AP Supervisor,2024-01-27,
U-0143,Warehouse Receiving Clerk,Receive Goods,role: Warehouse Receiving Clerk,2024-01-20,
U-0144,Warehouse Receiving Clerk,Receive Goods,role: Warehouse Receiving Clerk,2024-01-20,
U-0145,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-01-26,
U-0146,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-01-07,
U-0147,AP Supervisor,Approve Vendor Payment,role: AP Supervisor,2024-02-07,
U-0148,GL Accountant,Post Journal Entry,role: GL Accountant,2024-01-19,
U-0148,GL Accountant,Approve Journal Entry,exception grant,2024-05-17,
U-0149,Procurement Buyer,Create Purchase Order,role: Procurement Buyer,2024-02-28,
U-0149,Procurement Buyer,Approve Purchase Order,exception grant,2024-05-07,
U-0150,Procurement Buyer,Create Purchase Order,role: Procurement Buyer,2024-03-01,
U-0150,Procurement Buyer,Receive Goods,exception grant,2024-06-27,
U-0151,GL Accountant,Post Journal Entry,role: GL Accountant,2024-01-28,
U-0152,AR Supervisor,Approve Credit Memo,role: AR Supervisor,2024-02-24,
U-0153,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-02-27,
U-0153,AP Clerk,Approve Vendor Payment,exception grant,2024-07-20,
U-0154,Warehouse Receiving Clerk,Receive Goods,role: Warehouse Receiving Clerk,2024-01-16,
U-0155,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-02-23,
U-0156,Procurement Buyer,Create Purchase Order,role: Procurement Buyer,2024-01-04,
U-0157,Warehouse Receiving Clerk,Receive Goods,role: Warehouse Receiving Clerk,2024-02-18,
U-0158,Controller,Approve Journal Entry,role: Controller,2024-01-10,
U-0159,Controller,Approve Journal Entry,role: Controller,2024-01-25,
U-0160,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-01-27,
U-0161,Payroll Manager,Approve Payroll Run,role: Payroll Manager,2024-01-06,
U-0161,Payroll Manager,Edit Payroll Rates/Hours,exception grant,2024-06-28,
U-0162,Procurement Manager,Approve Purchase Order,role: Procurement Manager,2024-02-16,
U-0163,Payroll Manager,Approve Payroll Run,role: Payroll Manager,2024-02-16,
U-0164,AR Clerk,Create/Edit Customer Master,role: AR Clerk,2024-02-29,
U-0165,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-01-10,
U-0166,AR Supervisor,Approve Credit Memo,role: AR Supervisor,2024-02-01,
U-0167,Procurement Buyer,Create Purchase Order,role: Procurement Buyer,2024-02-21,
U-0168,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-02-02,
U-0169,Payroll Manager,Approve Payroll Run,role: Payroll Manager,2024-02-20,
U-0170,Warehouse Receiving Clerk,Receive Goods,role: Warehouse Receiving Clerk,2024-02-05,
U-0171,Procurement Buyer,Create Purchase Order,role: Procurement Buyer,2024-02-09,
U-0172,Warehouse Receiving Clerk,Receive Goods,role: Warehouse Receiving Clerk,2024-01-31,
U-0173,AR Clerk,Create/Edit Customer Master,role: AR Clerk,2024-02-20,
U-0174,Legacy Regional Admin,Create/Edit Vendor Master,role: Legacy Regional Admin,2024-01-31,
U-0174,Legacy Regional Admin,Approve Vendor Payment,role: Legacy Regional Admin,2024-02-08,
U-0175,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-01-04,
U-0176,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-02-12,
U-0176,AP Clerk,Approve Vendor Payment,exception grant,2024-03-14,2024-04-24
U-0177,Procurement Buyer,Create Purchase Order,role: Procurement Buyer,2024-01-16,
U-0178,Warehouse Receiving Clerk,Receive Goods,role: Warehouse Receiving Clerk,2024-02-17,
U-0179,Procurement Manager,Approve Purchase Order,role: Procurement Manager,2024-02-08,
U-0179,Procurement Manager,Create Purchase Order,exception grant,2024-04-03,
U-0180,GL Accountant,Post Journal Entry,role: GL Accountant,2024-02-19,
U-0180,GL Accountant,Approve Journal Entry,exception grant,2024-06-10,
U-0181,Warehouse Receiving Clerk,Receive Goods,role: Warehouse Receiving Clerk,2024-02-03,
U-0182,Procurement Buyer,Create Purchase Order,role: Procurement Buyer,2024-02-26,
U-0183,Procurement Buyer,Create Purchase Order,role: Procurement Buyer,2024-01-31,
U-0184,AR Clerk,Create/Edit Customer Master,role: AR Clerk,2024-01-06,
U-0185,AR Clerk,Create/Edit Customer Master,role: AR Clerk,2024-01-17,
U-0186,Payroll Admin,Edit Payroll Rates/Hours,role: Payroll Admin,2024-02-01,
U-0187,Procurement Buyer,Create Purchase Order,role: Procurement Buyer,2024-02-08,
U-0188,Legacy Regional Admin,Create/Edit Vendor Master,role: Legacy Regional Admin,2024-02-07,
U-0188,Legacy Regional Admin,Approve Vendor Payment,role: Legacy Regional Admin,2024-02-16,
U-0189,Payroll Admin,Edit Payroll Rates/Hours,role: Payroll Admin,2024-02-16,
U-0190,Treasury Analyst,Reconcile Bank Account,role: Treasury Analyst,2024-03-01,
U-0191,GL Accountant,Post Journal Entry,role: GL Accountant,2024-01-15,
U-0192,Procurement Buyer,Create Purchase Order,role: Procurement Buyer,2024-02-18,
U-0193,AR Clerk,Create/Edit Customer Master,role: AR Clerk,2024-02-25,
U-0194,GL Accountant,Post Journal Entry,role: GL Accountant,2024-01-07,
U-0195,AR Clerk,Create/Edit Customer Master,role: AR Clerk,2024-01-25,
U-0196,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-01-20,
U-0197,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-01-29,
U-0198,AR Supervisor,Approve Credit Memo,role: AR Supervisor,2024-01-04,
U-0199,Warehouse Receiving Clerk,Receive Goods,role: Warehouse Receiving Clerk,2024-01-26,
U-0200,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-02-03,
U-0201,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-02-29,
U-0202,AP Supervisor,Approve Vendor Payment,role: AP Supervisor,2024-02-14,
U-0203,Procurement Buyer,Create Purchase Order,role: Procurement Buyer,2024-02-15,
U-0204,Controller,Approve Journal Entry,role: Controller,2024-01-21,
U-0204,Controller,Post Journal Entry,exception grant,2024-03-29,2024-05-10
U-0205,Controller,Approve Journal Entry,role: Controller,2024-02-15,
U-0206,Procurement Buyer,Create Purchase Order,role: Procurement Buyer,2024-01-17,
U-0206,Procurement Buyer,Receive Goods,exception grant,2024-05-13,
U-0207,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-02-23,
U-0208,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-01-02,
U-0209,AR Clerk,Create/Edit Customer Master,role: AR Clerk,2024-01-09,
U-0210,Payroll Admin,Approve Payroll Run,exception grant,2024-02-03,2024-04-28
U-0210,Payroll Admin,Edit Payroll Rates/Hours,role: Payroll Admin,2024-03-01,
U-0211,Warehouse Receiving Clerk,Receive Goods,role: Warehouse Receiving Clerk,2024-01-29,
U-0212,GL Accountant,Post Journal Entry,role: GL Accountant,2024-01-18,
U-0213,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-02-16,
U-0214,Procurement Buyer,Create Purchase Order,role: Procurement Buyer,2024-02-09,
U-0215,AR Supervisor,Approve Credit Memo,role: AR Supervisor,2024-01-20,
U-0216,AP Clerk,Create/Edit Vendor Master,role: AP Clerk,2024-02-03,
U-0217,Warehouse Receiving Clerk,Receive Goods,role: Warehouse Receiving Clerk,2024-01-21,
U-0218,Warehouse Receiving Clerk,Receive Goods,role: Warehouse Receiving Clerk,2024-02-25,
U-0219,GL Accountant,Post Journal Entry,role: GL Accountant,2024-01-14,
U-0220,Procurement Buyer,Create Purchase Order,role: Procurement Buyer,2024-01-07,
