account_id,book_value,audited_value
AR-0127,8833.79,8833.79
AR-0128,7340.78,7340.78
AR-0129,59424.18,59424.18
AR-0130,3713.87,3713.87
AR-0131,8570.96,8570.96
AR-0132,984.31,984.31
AR-0133,2912.26,2912.26
AR-0134,4233.97,4233.97
AR-0135,10849.09,10849.09
AR-0136,8845.04,8845.04
AR-0137,1498.56,1498.56
AR-0138,672.64,672.64
AR-0139,2628.36,2628.36
AR-0140,1396.35,1396.35
AR-0141,1296.93,1296.93
AR-0142,33777.57,33777.57
AR-0143,32125.98,32125.98
AR-0144,39738.5,39738.5
AR-0145,7555.55,7555.55
AR-0146,6091.54,6091.54
AR-0147,6824.74,6824.74
AR-0148,4035.54,4035.54
AR-0149,1826.02,1826.02
AR-0150,11655.86,11655.86
AR-0151,4095.34,4095.34
AR-0152,18364.52,12855.16
AR-0153,6144.27,6144.27
AR-0154,13034.69,13034.69
AR-0155,5354.87,5354.87
AR-0156,3872.18,3872.18
AR-0157,4898.59,4898.59
AR-0158,8586.92,8586.92
AR-0159,4376.35,4376.35
AR-0160,68439.07,68439.07
AR-0161,5288.36,5288.36
AR-0162,13531.09,13531.09
AR-0163,15898.07,15898.07
AR-0164,24373.5,24373.5
AR-0165,46904.64,46904.64
AR-0166,2198.53,2198.53
AR-0167,150.0,150.0
AR-0168,31440.29,31440.29
AR-0169,10347.92,10347.92
AR-0170,19880.33,19880.33
AR-0171,4265.53,4265.53
AR-0172,2605.54,2605.54
AR-0173,1262.07,1262.07
AR-0174,26899.76,26899.76
AR-0175,18092.59,18092.59
AR-0176,27201.04,27201.04
AR-0177,3916.95,3916.95
AR-0178,2825.35,2825.35
AR-0179,3230.49,3230.49
AR-0180,7625.93,7625.93
AR-0181,9424.83,9424.83
AR-0182,2370.48,2370.48
AR-0183,1264.72,1264.72
AR-0184,2641.63,2641.63
AR-0185,1020.36,1020.36
AR-0186,2733.04,2733.04
AR-0187,23147.95,23147.95
AR-0188,7053.86,7053.86
AR-0189,1322.61,1322.61
AR-0190,4405.72,4405.72
AR-0191,11458.22,11458.22
AR-0192,2418.72,2418.72
AR-0193,5889.29,5889.29
AR-0194,1615.26,1615.26
AR-0195,5586.46,5586.46
AR-0196,201.46,201.46
AR-0197,41061.63,41061.63
AR-0198,35191.65,35191.65
AR-0199,11029.62,11029.62
AR-0200,11459.19,11459.19
AR-0201,58317.0,58317.0
AR-0202,2258.51,2258.51
AR-0203,9139.26,9139.26
AR-0204,13772.63,13772.63
AR-0205,37114.76,37114.76
AR-0206,5629.5,5629.5
AR-0207,10081.88,10081.88
AR-0208,603.22,603.22
AR-0209,39584.83,39584.83
AR-0210,6891.47,6891.47
AR-0211,4447.81,4447.81
AR-0212,9421.53,9421.53
AR-0213,768.58,768.58
AR-0214,1420.76,1420.76
AR-0215,27155.66,27155.66
AR-0216,26221.59,26221.59
AR-0217,4415.53,4415.53
AR-0218,27089.68,27089.68
AR-0219,8014.07,8014.07
AR-0220,17720.03,17720.03
AR-0221,2166.95,2166.95
AR-0222,1619.01,1619.01
AR-0223,10882.51,10882.51
AR-0224,5022.86,5022.86
AR-0225,14579.57,14579.57
AR-0226,21850.66,21850.66
AR-0227,2354.62,1059.58
AR-0228,16813.66,16813.66
AR-0229,11690.06,11690.06
AR-0230,1067.07,1067.07
AR-0231,6213.98,6213.98
AR-0232,20845.4,20845.4
AR-0233,15301.45,15301.45
AR-0234,6447.81,6447.81
AR-0235,41310.7,41310.7
AR-0236,114983.07,114983.07
AR-0237,4781.44,4781.44
AR-0238,7879.15,7879.15
AR-0239,3245.18,3245.18
AR-0240,5199.1,5199.1
AR-0241,2573.66,2573.66
AR-0242,2559.96,2559.96
AR-0243,9428.11,9428.11
AR-0244,66179.92,66179.92
AR-0245,474.4,474.4
AR-0246,3260.42,3260.42
AR-0247,15026.62,15026.62
AR-0248,1976.05,1976.05
AR-0249,6133.23,6133.23
AR-0250,4179.08,4179.08
AR-0251,2599.8,2599.8
AR-0252,7339.29,7339.29
AR-0253,5844.92,5844.92
AR-0254,2832.8,2832.8
AR-0255,7553.49,7553.49
AR-0256,3933.13,3933.13
AR-0257,9659.31,9659.31
AR-0258,157092.14,157092.14
AR-0259,674.32,674.32
AR-0260,25789.29,25789.29
AR-0261,449.8,449.8
AR-0262,4898.86,4898.86
AR-0263,1460.29,1460.29
AR-0264,39470.02,39470.02
AR-0265,12919.57,12919.57
AR-0266,807.11,807.11
AR-0267,1340.57,1340.57
AR-0268,713.86,713.86
AR-0269,49554.74,49554.74
AR-0270,2206.03,2206.03
AR-0271,5281.6,5281.6
AR-0272,8651.87,8651.87
AR-0273,3680.28,3680.28
AR-0274,30141.14,30141.14
AR-0275,4870.43,4870.43
AR-0276,1708.25,1708.25
AR-0277,1120.9,1120.9
AR-0278,356.15,356.15
AR-0279,6628.55,6628.55
AR-0280,14272.72,14272.72
AR-0281,983.2,983.2
AR-0282,14776.81,14776.81
AR-0283,13242.78,13242.78
AR-0284,4996.69,4996.69
AR-0285,8273.64,8273.64
AR-0286,3533.09,3533.09
AR-0287,9035.96,9035.96
AR-0288,5219.56,5219.56
AR-0289,3124.79,3124.79
AR-0290,1892.78,1892.78
AR-0291,3903.86,3903.86
AR-0292,886.59,886.59
AR-0293,11026.22,11026.22
AR-0294,13043.0,13043.0
AR-0295,1483.33,1483.33
AR-0296,2766.51,2766.51
AR-0297,324.93,324.93
AR-0298,3450.74,3450.74
AR-0299,689.69,689.69
AR-0300,3191.98,3191.98
AR-0301,9562.32,9562.32
AR-0302,14050.37,14050.37
AR-0303,2952.62,2952.62
AR-0304,6778.32,6778.32
AR-0305,7526.73,7526.73
AR-0306,11543.4,11543.4
AR-0307,16188.27,16188.27
AR-0308,19078.26,19078.26
AR-0309,1783.28,1783.28
AR-0310,16289.46,16289.46
AR-0311,28351.36,28351.36
AR-0312,25363.01,25363.01
AR-0313,5898.58,5898.58
AR-0314,3685.45,3685.45
AR-0315,10558.86,10558.86
AR-0316,2018.98,2018.98
AR-0317,3088.31,3088.31
AR-0318,12903.08,12903.08
AR-0319,5643.44,5643.44
AR-0320,7722.9,7722.9
AR-0321,3888.48,3888.48
AR-0322,2012.19,2012.19
AR-0323,2487.75,2487.75
AR-0324,12400.34,12400.34
AR-0325,17906.63,17906.63
AR-0326,7183.43,7183.43
AR-0327,8240.24,8240.24
AR-0328,24052.16,24052.16
AR-0329,2082.77,2082.77
AR-0330,22841.08,22841.08
AR-0331,30478.35,30478.35
AR-0332,361.63,361.63
AR-0333,1482.07,1482.07
AR-0334,3438.28,3438.28
AR-0335,1589.37,1589.37
AR-0336,14471.47,14471.47
AR-0337,12706.14,12706.14
AR-0338,617.85,617.85
AR-0339,2732.13,2732.13
AR-0340,9175.72,9175.72
AR-0341,4438.68,4438.68
AR-0342,32357.1,32357.1
AR-0343,1724.39,1724.39
AR-0344,1503.74,1503.74
AR-0345,17637.77,17637.77
AR-0346,398.62,398.62
AR-0347,8777.56,8777.56
AR-0348,1775.9,1775.9
AR-0349,7178.05,7178.05
AR-0350,9396.26,9396.26
AR-0351,2115.71,2115.71
AR-0352,31647.06,31647.06
AR-0353,15173.11,15173.11
AR-0354,8642.35,8642.35
AR-0355,1352.4,1352.4
AR-0356,42337.26,42337.26
AR-0357,1044.94,1044.94
AR-0358,16912.64,16912.64
AR-0359,22291.83,22291.83
AR-0360,3117.67,3117.67
AR-0361,10281.14,10281.14
AR-0362,16995.27,16995.27
AR-0363,8346.31,8346.31
AR-0364,9410.3,9410.3
AR-0365,6449.11,6449.11
AR-0366,3948.16,3948.16
AR-0367,8000.99,8000.99
AR-0368,8049.7,8049.7
AR-0369,3315.8,3315.8
AR-0370,3301.72,3301.72
AR-0371,6941.85,6941.85
AR-0372,16870.42,16870.42
AR-0373,42565.28,36180.49
AR-0374,6595.99,6595.99
AR-0375,2799.7,2799.7
AR-0376,23538.08,23538.08
AR-0377,52419.91,52419.91
AR-0378,17340.26,17340.26
AR-0379,637.55,637.55
AR-0380,629.98,629.98
AR-0381,7250.71,7250.71
AR-0382,6149.56,6149.56
AR-0383,3816.86,3816.86
AR-0384,1346.5,1346.5
AR-0385,4493.08,4493.08
AR-0386,5773.42,5773.42
AR-0387,7183.0,7183.0
AR-0388,1285.45,1285.45
AR-0389,1353.24,1353.24
AR-0390,6724.11,6724.11
AR-0391,3386.84,3386.84
AR-0392,14242.69,14242.69
AR-0393,722.12,722.12
AR-0394,1307.45,1307.45
AR-0395,8852.49,8852.49
AR-0396,7831.87,7831.87
AR-0397,5977.78,5977.78
AR-0398,8890.24,8890.24
AR-0399,1103.33,1103.33
AR-0400,30236.34,30236.34
AR-0401,71799.98,71799.98
AR-0402,41388.43,41388.43
AR-0403,150.0,150.0
AR-0404,6407.44,6407.44
AR-0405,24060.87,24060.87
AR-0406,5843.67,5843.67
AR-0407,3906.1,3906.1
AR-0408,1634.7,1634.7
AR-0409,10260.69,10260.69
AR-0410,33979.75,33979.75
AR-0411,3573.34,3573.34
AR-0412,6670.16,6670.16
AR-0413,3538.95,3538.95
AR-0414,12008.57,12008.57
AR-0415,1747.01,1747.01
AR-0416,5285.17,5285.17
AR-0417,1938.49,1938.49
AR-0418,1237.3,1237.3
AR-0419,17461.8,17461.8
AR-0420,6515.42,5994.19
